epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8106250166893005,9.999999747378752e-05,0.47548723220825195,0.5,0.8012582063674927
1,0.8536249995231628,9.999999747378752e-05,0.37119215726852417,0.8025000095367432,0.44750839471817017
2,0.8694999814033508,9.999999747378752e-05,0.32050997018814087,0.8454999923706055,0.3642132580280304
3,0.8852499723434448,9.999999747378752e-05,0.28429022431373596,0.8414999842643738,0.36949923634529114
4,0.8964999914169312,9.999999747378752e-05,0.2569214701652527,0.8240000009536743,0.3868460953235626
5,0.9033750295639038,9.999999747378752e-05,0.24306724965572357,0.8130000233650208,0.4915759265422821
6,0.9164999723434448,4.999999873689376e-05,0.21608281135559082,0.8109999895095825,0.47626838088035583
7,0.9151250123977661,4.999999873689376e-05,0.2079787254333496,0.7540000081062317,0.6728274822235107
8,0.9182500243186951,4.999999873689376e-05,0.20421601831912994,0.8385000228881836,0.4080502390861511
9,0.9247499704360962,2.499999936844688e-05,0.18404008448123932,0.8424999713897705,0.3856395184993744
10,0.9259999990463257,2.499999936844688e-05,0.1817065328359604,0.8140000104904175,0.4733199179172516
