epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8082500100135803,9.999999747378752e-05,0.47987568378448486,0.5,0.8778843283653259
1,0.8634999990463257,9.999999747378752e-05,0.34588682651519775,0.809499979019165,0.5263449549674988
2,0.8691250085830688,9.999999747378752e-05,0.3298492729663849,0.862500011920929,0.3784357011318207
3,0.8823750019073486,9.999999747378752e-05,0.2933458387851715,0.7574999928474426,0.6289366483688354
4,0.893625020980835,9.999999747378752e-05,0.26530298590660095,0.8675000071525574,0.3351786136627197
5,0.9046249985694885,9.999999747378752e-05,0.24360759556293488,0.7724999785423279,0.6079065203666687
6,0.9053750038146973,9.999999747378752e-05,0.2301812320947647,0.8709999918937683,0.3566431701183319
7,0.9089999794960022,9.999999747378752e-05,0.2245452105998993,0.8525000214576721,0.4163190722465515
8,0.9196249842643738,4.999999873689376e-05,0.19908246397972107,0.8650000095367432,0.3565356731414795
9,0.921875,4.999999873689376e-05,0.19097140431404114,0.8539999723434448,0.40110185742378235
10,0.9312499761581421,4.999999873689376e-05,0.18525739014148712,0.8519999980926514,0.41809991002082825
11,0.9334999918937683,2.499999936844688e-05,0.1685134917497635,0.824999988079071,0.48906153440475464
12,0.9298750162124634,2.499999936844688e-05,0.17373864352703094,0.8324999809265137,0.45188918709754944
