epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8208749890327454,9.999999747378752e-05,0.4623897075653076,0.5009999871253967,0.7032769322395325
1,0.8496249914169312,9.999999747378752e-05,0.3760545551776886,0.7929999828338623,0.5364331007003784
2,0.8698750138282776,9.999999747378752e-05,0.3316604793071747,0.8385000228881836,0.39196324348449707
3,0.8823750019073486,9.999999747378752e-05,0.29716652631759644,0.7795000076293945,0.5844087600708008
4,0.890250027179718,9.999999747378752e-05,0.2701300382614136,0.8050000071525574,0.4890262484550476
5,0.9012500047683716,9.999999747378752e-05,0.24748171865940094,0.8025000095367432,0.4767702519893646
6,0.9089999794960022,4.999999873689376e-05,0.22350679337978363,0.784500002861023,0.5580606460571289
7,0.9153749942779541,4.999999873689376e-05,0.20843420922756195,0.7804999947547913,0.5386406779289246
8,0.9182500243186951,4.999999873689376e-05,0.2090396136045456,0.7300000190734863,0.6762263178825378
9,0.9261249899864197,2.499999936844688e-05,0.18983565270900726,0.7615000009536743,0.627176821231842
10,0.9243749976158142,2.499999936844688e-05,0.18473604321479797,0.7764999866485596,0.5970997214317322
